store_name	code	product_ean	location
Pekanbaru	ID	8304825061010	Asia/Jakarta
Siegburg	DE	4697910873235	Europe/Berlin
Bhit Shah	PK	3258147264879	Asia/Karachi
Ferrol	ES	5681806530943	Europe/Madrid
Keene	US	8349435390563	America/New_York
Narwar	IN	3073729377941	Asia/Kolkata
Sterling	US	8624743807805	America/New_York
Selby	GB	0695182755970	Europe/London
Mokopane	ZA	0677806752183	Africa/Johannesburg
Curitiba	BR	8668480518068	America/Sao_Paulo
Ataq	YE	8507477721190	Asia/Aden
Gavrilov-Yam	RU	8893540979231	Europe/Moscow
Coralville	US	9599243937217	America/Chicago
Leyland	GB	3567668736162	Europe/London
Bogoroditsk	RU	6262241681552	Europe/Moscow
Kangayam	IN	1031959116510	Asia/Kolkata
Fujioka	JP	0214598824638	Asia/Tokyo
Gauting	DE	3596721845398	Europe/Berlin
Mirriah	NE	0536718876694	Africa/Niamey
Friedberg	DE	0781902008447	Europe/Berlin
El Alia	TN	8811997146471	Africa/Tunis
Artur Nogueira	BR	8571986656861	America/Sao_Paulo
Salima	MW	3744811120232	Africa/Blantyre
Udumalaippettai	IN	4195417683277	Asia/Kolkata
San Fernando de Henares	ES	4406915927306	Europe/Madrid
Carlos Barbosa	BR	8395578738915	America/Sao_Paulo
Cebu City	PH	1589492758471	Asia/Manila
Freetown	SL	9572178057106	Africa/Freetown
San Juan	US	3676460950581	America/Chicago
Glogovac	XK	2603442585357	Europe/Belgrade
Madrid	CO	6478721367100	America/Bogota
Mira Mesa	US	7352965670099	America/Los_Angeles
Milagro	EC	8553944082240	America/Guayaquil
Danilov	RU	7776928473983	Europe/Moscow
Caravaca	ES	3495222879515	Europe/Madrid
High Wycombe	GB	2076627720667	Europe/London
Olanchito	HN	9223829900356	America/Tegucigalpa
Saraktash	RU	2904336231122	Asia/Yekaterinburg
Yakuplu	TR	7944957175677	Europe/Istanbul
Beaumont	US	2017722504202	America/Los_Angeles
Madhipura	IN	3826584818964	Asia/Kolkata
Mirriah	NE	9484123177961	Africa/Niamey
Searcy	US	1834098141241	America/Chicago
Wesseling	DE	0096886415021	Europe/Berlin
Catania	IT	7712902360856	Europe/Rome
Carindale	AU	4102370871474	Australia/Brisbane
Sankt Peter	AT	1499263249940	Europe/Vienna
Fazilpur	PK	0386156596780	Asia/Karachi
Barbil	IN	8592090567270	Asia/Kolkata
Losser	NL	0639134063614	Europe/Amsterdam
Sceaux	FR	3692625685174	Europe/Paris
Reus	ES	9771019029993	Europe/Madrid
Santa Gertrudes	BR	4466755673283	America/Sao_Paulo
Soledade	BR	6560581941108	America/Sao_Paulo
Farafenni	GM	8962585625011	Africa/Banjul
Foshan	CN	8692096671244	Asia/Shanghai
Sarandi	BR	7081442659141	America/Sao_Paulo
Lower West Side	US	8652836657303	America/Chicago
Chillum	US	6133529282450	America/New_York
Alytus	LT	0095818365038	Europe/Vilnius
Laiwu	CN	0526361207532	Asia/Shanghai
Bon Air	US	1692218361418	America/New_York
Kismayo	SO	5985875627048	Africa/Mogadishu
Walton-on-the-Naze	GB	5086887584661	Europe/London
Vestavia Hills	US	8034979814575	America/Chicago
Pandua	IN	7792850983734	Asia/Kolkata
Carlos Barbosa	BR	3913911527924	America/Sao_Paulo
Independence	US	2422690278336	America/Chicago
Markham	CA	5267823678211	America/Toronto
Changshu City	CN	6365798559593	Asia/Shanghai
Darreh Shahr	IR	8961533950281	Asia/Tehran
Hushitai	CN	6555237511705	Asia/Shanghai
Gingee	IN	9658417054232	Asia/Kolkata
Middle River	US	0019568927773	America/New_York
Hrazdan	AM	5894618651250	Asia/Yerevan
Sungurlu	TR	7117016727210	Europe/Istanbul
Salvatierra	MX	4069364803647	America/Mexico_City
Dongfeng	CN	1026229406583	Asia/Shanghai
Teluk Intan	MY	3644543844027	Asia/Kuala_Lumpur
Perugia	IT	1996640355343	Europe/Rome
Binnish	SY	8571546876425	Asia/Damascus
Hendala	LK	5855318342749	Asia/Colombo
Novelda	ES	3206612674739	Europe/Madrid
Ponta Delgada	PT	9555623737716	Atlantic/Azores
Motomachi	JP	7180280286035	Asia/Tokyo
Jerada	MA	5089281383625	Africa/Casablanca
Gudermes	RU	3546215474634	Europe/Moscow
Ramla	IL	3788739691788	Asia/Jerusalem
Sharypovo	RU	4153495500473	Asia/Krasnoyarsk
Leteri	IN	4411468477840	Asia/Kolkata
Miracema	BR	7876497482819	America/Sao_Paulo
Pleasant Prairie	US	0525913663949	America/Chicago
Yablonovskiy	RU	4976076584750	Europe/Moscow
Toyokawa	JP	6799013862685	Asia/Tokyo
Glendale	US	2610582753546	America/Los_Angeles
Davis	US	7417606288979	America/Los_Angeles
Verl	DE	4313886904406	Europe/Berlin
La Ligua	CL	0366408009848	America/Santiago
Soure	BR	4563712164478	America/Belem
Westbury	GB	5771315936449	Europe/London
Utica	US	3991977349155	America/New_York
Salvatierra	MX	4725493002831	America/Mexico_City
Cavaillon	FR	6212938102099	Europe/Paris
Guli	CN	2837584394465	Asia/Shanghai
Magong	TW	5233719274140	Asia/Taipei
Daud Khel	PK	9583046791480	Asia/Karachi
Newbury	GB	4412098430090	Europe/London
Montecchio Maggiore-Alte Ceccato	IT	0940511145787	Europe/Rome
Willetton	AU	8650532605895	Australia/Perth
Wheelers Hill	AU	4822175044391	Australia/Melbourne
Shimotoda	JP	6058024271504	Asia/Tokyo
Kendall	US	3286443727118	America/New_York
Bonoua	CI	4305283382086	Africa/Abidjan
Oberhausen	DE	7698732785161	Europe/Berlin
Fort Washington	US	1361038848026	America/New_York
Aykhal	RU	8833282565316	Asia/Yakutsk
Calangute	IN	6889320661443	Asia/Kolkata
Tinaquillo	VE	0174085699852	America/Caracas
Halstenbek	DE	7650414654752	Europe/Berlin
Reda	PL	2307726458640	Europe/Warsaw
Jalal-Abad	KG	6947397045921	Asia/Bishkek
Emmeloord	NL	1868638229533	Europe/Amsterdam
Bonoua	CI	4040013175049	Africa/Abidjan
San Fernando de Henares	ES	2708685886169	Europe/Madrid
Pato Branco	BR	0434622319514	America/Sao_Paulo
Dobrush	BY	5734932616699	Europe/Minsk
Beni	CD	9298453803717	Africa/Lubumbashi
Ciudad Guayana	VE	8727216300749	America/Caracas
Lille	BE	5733368993619	Europe/Brussels
Alfenas	BR	4807961336195	America/Sao_Paulo
Brunswick	US	9461637829029	America/New_York
San Bernardo	CL	8377579178099	America/Santiago
Guapimirim	BR	3354098922575	America/Sao_Paulo
Yenagoa	NG	1547286394410	Africa/Lagos
Keizer	US	9258396495981	America/Los_Angeles
Severodvinsk	RU	5175537220131	Europe/Moscow
Belper	GB	9139386530564	Europe/London
Bad Segeberg	DE	9327031324464	Europe/Berlin
Valday	RU	9409168434404	Europe/Moscow
Madrid	CO	7274309854838	America/Bogota
Montecchio Maggiore-Alte Ceccato	IT	3844959986223	Europe/Rome
Itaperuna	BR	1064795045546	America/Sao_Paulo
Guyong	PH	7346730974239	Asia/Manila
Moga	IN	7980702107906	Asia/Kolkata
Carnot	CF	7432609914281	Africa/Bangui
Leland	US	8544518683505	America/New_York
Shuangcheng	CN	7099067296887	Asia/Shanghai
Nyangao	TZ	1175206872009	Africa/Dar_es_Salaam
Aloha	US	1475901196791	America/Los_Angeles
Sterling	US	4457135253928	America/New_York
Shaowu	CN	6615161554343	Asia/Shanghai
Memmingen	DE	6221444051814	Europe/Berlin
San Bernardo	CL	1410602894263	America/Santiago
Bad Honnef	DE	8507952512749	Europe/Berlin
Kolomyagi	RU	8812638237879	Europe/Moscow
Salima	MW	8984537988616	Africa/Blantyre
Jizzax	UZ	1164837606244	Asia/Samarkand
Dipolog	PH	0455992211710	Asia/Manila
Majene	ID	6206295929383	Asia/Makassar
Malden	US	1591005948309	America/New_York
Memmingen	DE	6468100060203	Europe/Berlin
Gonesse	FR	9070324804050	Europe/Paris
Griffith	AU	1415368547446	Australia/Sydney
Sunnyside	US	0179853377659	America/Los_Angeles
Mirriah	NE	4618052350255	Africa/Niamey
Jhol	PK	0495917700639	Asia/Karachi
Tonga	CM	8634511870535	Africa/Douala
Independence	US	9826667308119	America/Chicago
Bobigny	FR	2217662847326	Europe/Paris
Boo	SE	7846196264528	Europe/Stockholm
les Escaldes	AD	6437464930132	Europe/Andorra
Sa Dec	VN	4871070791930	Asia/Ho_Chi_Minh
Aksaray	TR	8591597144045	Europe/Istanbul
Majene	ID	8136342782228	Asia/Makassar
Nowra	AU	2545893390718	Australia/Sydney
Mudanya	TR	2313350310797	Europe/Istanbul
Mesagne	IT	6461322247377	Europe/Rome
Charlottenburg-Nord	DE	2369683994975	Europe/Berlin
Dyat’kovo	RU	7412391711473	Europe/Moscow
Strathfield	AU	8965431910484	Australia/Sydney
Misterbianco	IT	5762797616486	Europe/Rome
Rutherglen	GB	6980508094654	Europe/London
San Fernando de Henares	ES	9796657816774	Europe/Madrid
Gaziantep	TR	1750737802918	Europe/Istanbul
Sharypovo	RU	5571114142962	Asia/Krasnoyarsk
Gates-North Gates	US	0003058154664	America/New_York
Huntley	US	3714864436727	America/Chicago
Afragola	IT	1613133364797	Europe/Rome
Wesseling	DE	9255147270415	Europe/Berlin
Canton	US	8594607453212	America/Detroit
Opportunity	US	1914136006081	America/Los_Angeles
Polohy	UA	8709183573821	Europe/Zaporozhye
Perth	AU	4305787681753	Australia/Perth
Chanika	TZ	9737853008679	Africa/Dar_es_Salaam
Boston	US	1608516431609	America/New_York
Paracho de Verduzco	MX	8991383908682	America/Mexico_City
Hechingen	DE	2746904112569	Europe/Berlin
Kenda	IN	9379531777066	Asia/Kolkata
Scotch Plains	US	8743297504531	America/New_York
Reutlingen	DE	2442823472790	Europe/Berlin
Bogovinje	MK	5725371093547	Europe/Skopje
Kyaikto	MM	9652735739604	Asia/Yangon
Paredes	PT	5498687448928	Europe/Lisbon
Wheelers Hill	AU	2006392165509	Australia/Melbourne
Far Rockaway	US	8872024227037	America/New_York
Mwandiga	TZ	8064567898359	Africa/Dar_es_Salaam
Losser	NL	0714868696717	Europe/Amsterdam
Palm Valley	US	4417534594763	America/New_York
Lesosibirsk	RU	7207460783938	Asia/Krasnoyarsk
Claremont	US	2126874744005	America/Los_Angeles
Riverbank	US	7711522646258	America/Los_Angeles
Chanika	TZ	7023243719372	Africa/Dar_es_Salaam
Yamada	JP	3984331744246	Asia/Tokyo
Tianfu	CN	8330595707919	Asia/Shanghai
Rosemount	US	8271150600965	America/Chicago
Zhukovka	RU	6997298514712	Europe/Moscow
Hakodate	JP	1528908712034	Asia/Tokyo
Nakhon Pathom	TH	5126966445138	Asia/Bangkok
Newbury	GB	2015287318821	Europe/London
Utica	US	3085427922545	America/New_York
Colomiers	FR	0161113720480	Europe/Paris
Gorgonzola	IT	5895409522445	Europe/Rome
Paracho de Verduzco	MX	1535587659338	America/Mexico_City
Bridgeport	US	5517930358392	America/New_York
Paredes	PT	1704172663665	Europe/Lisbon
Svatove	UA	1946744725078	Europe/Zaporozhye
Ada	US	4479931130982	America/Chicago
Markham	CA	7717312519931	America/Toronto
Manikchari	BD	4286523945264	Asia/Dhaka
Dahlem	DE	5649710382232	Europe/Berlin
Rosedale	US	6140962086392	America/New_York
Rixensart	BE	4213728490084	Europe/Brussels
Sojat	IN	2479407150492	Asia/Kolkata
Manaoag	PH	9461911026878	Asia/Manila
Zhoushan	CN	3015319924586	Asia/Shanghai
Pingyi	CN	5283661207871	Asia/Shanghai
Jhol	PK	8781980380284	Asia/Karachi
Valence	FR	4352634360170	Europe/Paris
New Canaan	US	6276717669388	America/New_York
Rajaori	IN	6667857323269	Asia/Kolkata
Kachkanar	RU	0026790283584	Asia/Yekaterinburg
Shalqar	KZ	6663766044820	Asia/Aqtobe
Hutchinson	US	4175051563159	America/Chicago
Opportunity	US	2861010111081	America/Los_Angeles
Boyeros	CU	1942285844315	America/Havana
Nizhniy Lomov	RU	9642003371094	Europe/Moscow
Abilene	US	4956811872694	America/Chicago
Mitry-Mory	FR	3497127555884	Europe/Paris
Glendale	US	0657979907221	America/Los_Angeles
Nanpiao	CN	7938555110291	Asia/Shanghai
Yao	JP	0095497466248	Asia/Tokyo
Villabate	IT	1162864093488	Europe/Rome
Deoli	IN	6331601277251	Asia/Kolkata
Tonota	BW	1578814314587	Africa/Gaborone
Oberhausen	DE	4514598554273	Europe/Berlin
Estelle	US	7784245276064	America/Chicago
Gorakhpur	IN	5045283032497	Asia/Kolkata
Biu	NG	7101790344138	Africa/Lagos
Silvan	TR	9356411693760	Europe/Istanbul
Alexandria	EG	5207098584435	Africa/Cairo
Clermont	US	2298486217069	America/New_York
San Lorenzo Acopilco	MX	8448946061389	America/Mexico_City
Mount Hagen	PG	3239564354114	Pacific/Port_Moresby
Nutley	US	0113861761901	America/New_York
Lutsk	UA	1797801580457	Europe/Kiev
Adra	IN	8141067694664	Asia/Kolkata
Greenfield	US	6749533860265	America/Indiana/Indianapolis
Most	CZ	8125031064738	Europe/Prague
Inverness	GB	2051099982034	Europe/London
Zhukovka	RU	6472386478058	Europe/Moscow
Dumont	US	3868673905490	America/New_York
Pato Branco	BR	3319164438039	America/Sao_Paulo
San Gabriel	US	4085879757121	America/Los_Angeles
Leland	US	9705173790710	America/New_York
Kashira	RU	8019626897897	Europe/Moscow
Visitacion Valley	US	5705754460524	America/Los_Angeles
Yasothon	TH	0629026728769	Asia/Bangkok
Ikalamavony	MG	3840985283824	Indian/Antananarivo
Burgos	PH	1780702318663	Asia/Manila
New Yekepa	LR	1420789820672	Africa/Monrovia
Kallio	FI	4047408260328	Europe/Helsinki
Bhit Shah	PK	5696821420070	Asia/Karachi
Tianfu	CN	3931625188439	Asia/Shanghai
Barneveld	NL	0551124621041	Europe/Amsterdam
Srinagar	IN	7266249617024	Asia/Kolkata
Zaysan	KZ	5263276980840	Asia/Almaty
Villabate	IT	1024284931507	Europe/Rome
Aracaju	BR	7941319172015	America/Maceio
Meerut	IN	4739420517879	Asia/Kolkata
Port-Vila	VU	6695468484666	Pacific/Efate
Franceville	GA	7792865708032	Africa/Libreville
Karatsu	JP	3526943612584	Asia/Tokyo
Malaut	IN	1984843711738	Asia/Kolkata
Teghra	IN	1770219411858	Asia/Kolkata
Mokopane	ZA	4563829879296	Africa/Johannesburg
Biu	NG	7272577060388	Africa/Lagos
Custoias	PT	9972177800466	Europe/Lisbon
Sojat	IN	2511744687788	Asia/Kolkata
Pilkhua	IN	4001873322059	Asia/Kolkata
Newbury	GB	6348833702918	Europe/London
Estelle	US	6036159075464	America/Chicago
Sungurlu	TR	1658363831992	Europe/Istanbul
Arzamas	RU	3330912797123	Europe/Moscow
Sonzacate	SV	4623759035213	America/El_Salvador
Vryheid	ZA	4271248759517	Africa/Johannesburg
Acaponeta	MX	3375824321530	America/Mazatlan
Kangayam	IN	3995844302694	Asia/Kolkata
Paracho de Verduzco	MX	9973570783721	America/Mexico_City
Rosemount	US	7224803968722	America/Chicago
Pleasant Prairie	US	5058113524277	America/Chicago
Izluchinsk	RU	4541018814563	Asia/Yekaterinburg
Iringa	TZ	4718507916071	Africa/Dar_es_Salaam
Rosemount	US	4411631844455	America/Chicago
Tupiza	BO	5279460876103	America/La_Paz
Ganei Tikva	IL	7948450038217	Asia/Jerusalem
Pato Branco	BR	8038860331486	America/Sao_Paulo
Sojat	IN	9203634432648	Asia/Kolkata
Dongfeng	CN	9121184559144	Asia/Shanghai
Carnaxide	PT	6974522852246	Europe/Lisbon
Massapequa	US	2884706670990	America/New_York
Kireyevsk	RU	8308289762506	Europe/Moscow
Kent	US	0951810310462	America/Los_Angeles
Mechanicsville	US	0885827579140	America/New_York
Khairpur Mir’s	PK	8016205315858	Asia/Karachi
Westbury	GB	5564015593995	Europe/London
Teluk Intan	MY	3995231482039	Asia/Kuala_Lumpur
Tsuen Wan	HK	1583536431450	Asia/Hong_Kong
Guyong	PH	5902386582888	Asia/Manila
Mvomero	TZ	9885184749560	Africa/Dar_es_Salaam
Hechingen	DE	9298679442677	Europe/Berlin
Floridsdorf	AT	6667716349492	Europe/Vienna
North Tustin	US	6044404186186	America/Los_Angeles
Dorval	CA	0344562608305	America/Toronto
Greenville	US	7880544068208	America/Chicago
Mouscron	BE	0532218177057	Europe/Brussels
New City	US	7349281790785	America/Chicago
Kudus	ID	6700987837739	Asia/Jakarta
Gero	JP	2606418369654	Asia/Tokyo
Inverness	GB	1389818610151	Europe/London
Liaoyang	CN	2184273242614	Asia/Shanghai
T’aebaek	KR	7552793328401	Asia/Seoul
Kheda	IN	1552002626348	Asia/Kolkata
Minas de Marcona	PE	3101458311216	America/Lima
Kuvandyk	RU	2870723702172	Asia/Yekaterinburg
Keizer	US	7557728528123	America/Los_Angeles
Gembloux	BE	7614162173415	Europe/Brussels
Esmeraldas	BR	9153585476133	America/Sao_Paulo
Dehiwala-Mount Lavinia	LK	2830922215415	Asia/Colombo
Isfahan	IR	3593147521585	Asia/Tehran
Zhoucun	CN	1811825694393	Asia/Shanghai
Collinwood	US	8013008937935	America/New_York
Tharu Shah	PK	9802399437174	Asia/Karachi
Alfenas	BR	8013716283386	America/Sao_Paulo
Karben	DE	7964255476030	Europe/Berlin
Norco	US	8117036122216	America/Los_Angeles
Milledgeville	US	2213691130637	America/New_York
Teluk Intan	MY	3395580819089	Asia/Kuala_Lumpur
Tuxtla	MX	5266164862730	America/Mexico_City
Teluk Intan	MY	6692927137897	Asia/Kuala_Lumpur
Westchester	US	2118497401694	America/Chicago
Media Luna	CU	7140690428197	America/Havana
Boo	SE	4288279835745	Europe/Stockholm
Pameungpeuk	ID	6259757173886	Asia/Jakarta
Halstenbek	DE	7071170907225	Europe/Berlin
Pontevedra	AR	8345070958977	America/Argentina/Buenos_Aires
Bogoroditsk	RU	8963683504222	Europe/Moscow
Tuxtla	MX	5861264449418	America/Mexico_City
Kachkanar	RU	0825575219448	Asia/Yekaterinburg
Tarkwa	GH	2991244594050	Africa/Accra
Bad Segeberg	DE	9544099878030	Europe/Berlin
Liberia	CR	1909317917799	America/Costa_Rica
Dombivli	IN	1702201893274	Asia/Kolkata
Dahlem	DE	4442391055355	Europe/Berlin
Hoxtolgay	CN	0592739659579	Asia/Urumqi
Roi Et	TH	7034977974036	Asia/Bangkok
Yunguyo	PE	8670577686550	America/Lima
Yao	JP	6383740323535	Asia/Tokyo
Memmingen	DE	5858590777216	Europe/Berlin
Yauco	PR	0542495726138	America/Puerto_Rico
Barnet	GB	0928517605955	Europe/London
Bothell	US	0322956069758	America/Los_Angeles
Khairpur Mir’s	PK	1926846436669	Asia/Karachi
Sojat	IN	0035833643681	Asia/Kolkata
Carnegie	AU	3049300930560	Australia/Melbourne
Nonoichi	JP	6777604027200	Asia/Tokyo
Kot Addu	PK	9896551296242	Asia/Karachi
Talipparamba	IN	2422926131527	Asia/Kolkata
Mokopane	ZA	6391314267765	Africa/Johannesburg
Alatyr’	RU	6602143147228	Europe/Moscow
Gaya	NG	3789445221092	Africa/Lagos
Cardedeu	ES	8339624954065	Europe/Madrid
Suzaka	JP	1130810307163	Asia/Tokyo
Kahului	US	1548099053426	Pacific/Honolulu
Sceaux	FR	4798411744366	Europe/Paris
Miracema	BR	7437287507763	America/Sao_Paulo
les Escaldes	AD	0066919740475	Europe/Andorra
Pune	IN	8615562114748	Asia/Kolkata
Carnegie	AU	9462175858670	Australia/Melbourne
Idenao	CM	1772665207191	Africa/Douala
Minokamo	JP	8181402713254	Asia/Tokyo
Annaka	JP	7860408587694	Asia/Tokyo
Mbalmayo	CM	6078148023254	Africa/Douala
Bisceglie	IT	0589575275070	Europe/Rome
Penzance	GB	1704963628194	Europe/London
Xinzhou	CN	8026630655221	Asia/Shanghai
Carnaxide	PT	2798061216727	Europe/Lisbon
Tchaourou	BJ	2275722304943	Africa/Porto-Novo
Lino Lakes	US	3331607082791	America/Chicago
Severodvinsk	RU	2006457609634	Europe/Moscow
Tyoply Stan	RU	1844113422798	Europe/Moscow
Zhukovka	RU	4668243828148	Europe/Moscow
Puerto Colombia	CO	7262142957496	America/Bogota
Gauting	DE	6049319780887	Europe/Berlin
Ada	US	5086567169317	America/Chicago
Keizer	US	5576844732773	America/Los_Angeles
Luena	AO	4247572793213	Africa/Luanda
Campobasso	IT	6916847217676	Europe/Rome
Markham	CA	3016904311989	America/Toronto
Standerton	ZA	1021434175293	Africa/Johannesburg
Serinhisar	TR	9446783078712	Europe/Istanbul
Madhipura	IN	7746983391751	Asia/Kolkata
Athlone	IE	9620221227676	Europe/Dublin
Kahului	US	2608487110700	Pacific/Honolulu
Rangia	IN	1183073309351	Asia/Kolkata
Carnot	CF	0618635874530	Africa/Bangui
Brentwood Estates	US	2555729395503	America/Chicago
Varadero	CU	2996799194274	America/Havana
Arua	UG	8366728762173	Africa/Kampala
Wangon	ID	6131518078404	Asia/Jakarta
Oldenzaal	NL	9240902826341	Europe/Amsterdam
Brenham	US	8139571520746	America/Chicago
Nizhniy Lomov	RU	9552866696121	Europe/Moscow
Sa Dec	VN	9603310358666	Asia/Ho_Chi_Minh
Tongelre	NL	7626546482891	Europe/Amsterdam
Schwalmtal	DE	1923438710701	Europe/Berlin
Kamakura	JP	4328345468139	Asia/Tokyo
Solntsevo	RU	3422211804913	Europe/Moscow
Boumerdas	DZ	2453379008883	Africa/Algiers
Colomiers	FR	3380336389077	Europe/Paris
